unique_ID_1,snap_wave1,imputed_snap_wave1,snap_wave2,imputed_snap_wave2,snap_wave3,imputed_snap_wave3,wave ID,marital status,sex,hispanic origin,race,education,citizenship,snap,employment,state,age,imputed_snap
000114285070_101,Not SNAP covered,FALSE,Not SNAP covered,FALSE,Not SNAP covered,FALSE,4,Widowed,Female,Non hispanic,White,Postgraduate degree,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Kansas,71,FALSE
000114285134_101,Not SNAP covered,FALSE,Not SNAP covered,FALSE,Not SNAP covered,FALSE,4,"Married, spouse present",Female,Hispanic,White,High school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Kansas,46,FALSE
000114285134_102,Not SNAP covered,FALSE,Not SNAP covered,FALSE,Not SNAP covered,FALSE,4,"Married, spouse present",Male,Hispanic,White,Less than high school,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Kansas,50,FALSE
000114285134_103,Not SNAP covered,FALSE,Not SNAP covered,FALSE,Not SNAP covered,FALSE,4,Never married,Female,Hispanic,White,Bachelor's degree,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Kansas,27,FALSE
000114285343_101,Not SNAP covered,FALSE,Not SNAP covered,FALSE,Not SNAP covered,FALSE,4,Never married,Female,Non hispanic,White,Postgraduate degree,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Kansas,46,FALSE
000114285343_102,Not SNAP covered,FALSE,Not SNAP covered,FALSE,Not SNAP covered,FALSE,4,Divorced,Female,Non hispanic,White,Some college,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Kansas,52,FALSE
000114552369_101,Not SNAP covered,FALSE,Not SNAP covered,FALSE,Not SNAP covered,FALSE,4,Never married,Female,Non hispanic,Black,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Kansas,28,FALSE
000114552765_101,Not SNAP covered,FALSE,Not SNAP covered,FALSE,Not SNAP covered,FALSE,4,"Married, spouse absent",Male,Non hispanic,Black,Bachelor's degree,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Kansas,62,FALSE
000114816023_101,Not SNAP covered,FALSE,Not SNAP covered,FALSE,Not SNAP covered,FALSE,4,Divorced,Male,Non hispanic,Black,High school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Kansas,86,FALSE
000114816253_101,Not SNAP covered,FALSE,Not SNAP covered,FALSE,Not SNAP covered,FALSE,4,Never married,Male,Hispanic,White,High school,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Kansas,51,FALSE
