unique_ID_1,snap_wave1,imputed_snap_wave1,wave ID,marital status,sex,hispanic origin,race,education,citizenship,snap,employment,state,age,imputed_snap,SNAP_wave1,SNAP
000114285070_101,Not SNAP covered,FALSE,2,Widowed,Female,Non hispanic,White,Postgraduate degree,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Kansas,69,FALSE,No,No
000114285134_101,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Hispanic,White,High school,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Kansas,44,FALSE,No,No
000114285134_102,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Hispanic,White,Less than high school,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Kansas,48,FALSE,No,No
000114285134_103,Not SNAP covered,FALSE,2,Never married,Female,Hispanic,White,Bachelor's degree,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Kansas,25,FALSE,No,No
000114285134_104,Not SNAP covered,FALSE,2,Never married,Male,Hispanic,White,High school,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Kansas,23,FALSE,No,No
000114285343_101,Not SNAP covered,FALSE,2,Never married,Female,Non hispanic,White,Postgraduate degree,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Kansas,44,FALSE,No,No
000114285343_102,Not SNAP covered,FALSE,2,Divorced,Female,Non hispanic,White,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Kansas,50,FALSE,No,No
000114285765_101,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Hispanic,White,High school,Non US citizen,Not SNAP covered,"With a job entire month, worked all weeks",California,38,FALSE,No,No
000114285765_102,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Hispanic,White,High school,Non US citizen,Not SNAP covered,"With a job entire month, worked all weeks",California,24,FALSE,No,No
000114552134_101,SNAP covered,FALSE,2,Divorced,Female,Non hispanic,White,Less than high school,US citizen,SNAP covered,"No job all month, no time on layoff and no time looking for work",Kansas,59,FALSE,Yes,Yes
000114552134_102,SNAP covered,FALSE,2,Never married,Male,Non hispanic,White,Less than high school,US citizen,SNAP covered,"No job all month, on layoff or looking for work all weeks",Kansas,29,TRUE,Yes,Yes
000114552134_103,Not SNAP covered,FALSE,2,Never married,Female,Non hispanic,White,Bachelor's degree,US citizen,SNAP covered,"No job all month, no time on layoff and no time looking for work",Kansas,32,TRUE,No,Yes
000114552369_101,Not SNAP covered,FALSE,2,Never married,Female,Non hispanic,Black,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Kansas,26,FALSE,No,No
000114552765_101,Not SNAP covered,FALSE,2,Divorced,Male,Non hispanic,Black,Bachelor's degree,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Kansas,60,FALSE,No,No
000114816023_101,Not SNAP covered,FALSE,2,Divorced,Male,Non hispanic,Black,High school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Kansas,84,FALSE,No,No
000114816253_101,Not SNAP covered,FALSE,2,Never married,Male,Hispanic,White,High school,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Kansas,49,FALSE,No,No
000114816465_101,Not SNAP covered,FALSE,2,Widowed,Male,Non hispanic,White,Some college,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Kansas,84,FALSE,No,No
000114816765_101,SNAP covered,FALSE,2,Divorced,Male,Non hispanic,White,Less than high school,US citizen,SNAP covered,"No job all month, no time on layoff and no time looking for work",Kansas,84,FALSE,Yes,Yes
000128892294_101,Not SNAP covered,FALSE,2,Never married,Male,Non hispanic,White,Bachelor's degree,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Oklahoma,23,FALSE,No,No
000133450932_101,Not SNAP covered,FALSE,2,Never married,Female,Non hispanic,White,Some college,US citizen,SNAP covered,"With a job entire month, worked all weeks",Kansas,20,FALSE,No,Yes
000399892932_101,Not SNAP covered,FALSE,2,Never married,Male,Non hispanic,Black,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Kansas,21,FALSE,No,No
000399892932_103,Not SNAP covered,FALSE,2,Never married,Male,Non hispanic,White,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Kansas,22,FALSE,No,No
000399892932_104,Not SNAP covered,FALSE,2,Never married,Male,Non hispanic,White,Bachelor's degree,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Kansas,22,FALSE,No,No
000418037420_101,Not SNAP covered,FALSE,2,Divorced,Female,Non hispanic,White,High school,US citizen,Not SNAP covered,"With a job at least 1 but not all weeks, no time on layoff and no time looking for work",Kansas,47,FALSE,No,No
000418037420_103,Not SNAP covered,FALSE,2,Never married,Male,Non hispanic,White,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Kansas,19,FALSE,No,No
000418049023_101,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,White,High school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Kansas,83,FALSE,No,No
000418049023_102,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,High school,US citizen,Not SNAP covered,"No job all month, no time on layoff and no time looking for work",Kansas,82,FALSE,No,No
000418049746_101,Not SNAP covered,FALSE,2,"Married, spouse present",Male,Non hispanic,White,Less than high school,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Kansas,55,FALSE,No,No
000418049746_102,Not SNAP covered,FALSE,2,"Married, spouse present",Female,Non hispanic,White,Some college,US citizen,Not SNAP covered,"With a job entire month, worked all weeks",Kansas,55,FALSE,No,No
000418049765_101,SNAP covered,FALSE,2,Divorced,Female,Non hispanic,White,High school,US citizen,SNAP covered,"No job all month, on layoff or looking for work all weeks",Kansas,56,FALSE,Yes,Yes
